country,year,pop,continent,lifeExp,gdpPercap
Costa Rica,1982,2424367,Americas,73.45,5262.734751
Costa Rica,1987,2799811,Americas,74.752,5629.915318
Cote d'Ivoire,1982,9025951,Africa,53.983,2602.710169
Cote d'Ivoire,1987,10761098,Africa,54.655,2156.956069
Croatia,1982,4413368,Europe,70.46,13221.82184
Croatia,1987,4484310,Europe,71.52,13822.58394
Cuba,1982,9789224,Americas,73.717,7316.918107
Cuba,1987,10239839,Americas,74.174,7532.924763
Czech Republic,1982,10303704,Europe,70.96,15377.22855
Czech Republic,1987,10311597,Europe,71.58,16310.4434
Denmark,1982,5117810,Europe,74.63,21688.04048
Denmark,1987,5127024,Europe,74.8,25116.17581
Djibouti,1982,305991,Africa,48.812,2879.468067
Djibouti,1987,311025,Africa,50.04,2880.102568
Dominican Republic,1982,5968349,Americas,63.727,2861.092386
Dominican Republic,1987,6655297,Americas,66.046,2899.842175
Ecuador,1982,8365850,Americas,64.342,7213.791267
Ecuador,1987,9545158,Americas,67.231,6481.776993
Egypt,1982,45681811,Africa,56.006,3503.729636
Egypt,1987,52799062,Africa,59.797,3885.46071
El Salvador,1982,4474873,Americas,56.604,4098.344175
El Salvador,1987,4842194,Americas,63.154,4140.442097
Equatorial Guinea,1982,285483,Africa,43.662,927.8253427
Equatorial Guinea,1987,341244,Africa,45.664,966.8968149
Eritrea,1982,2637297,Africa,43.89,524.8758493
Eritrea,1987,2915959,Africa,46.453,521.1341333
Ethiopia,1982,38111756,Africa,44.916,577.8607471
Ethiopia,1987,42999530,Africa,46.684,573.7413142
Finland,1982,4826933,Europe,74.55,18533.15761
Finland,1987,4931729,Europe,74.83,21141.01223
France,1982,54433565,Europe,74.89,20293.89746
France,1987,55630100,Europe,76.34,22066.44214
Gabon,1982,753874,Africa,56.564,15113.36194
Gabon,1987,880397,Africa,60.19,11864.40844
Gambia,1982,715523,Africa,45.58,835.8096108
Gambia,1987,848406,Africa,49.265,611.6588611
Germany,1982,78335266,Europe,73.8,22031.53274
Germany,1987,77718298,Europe,74.847,24639.18566
Ghana,1982,11400338,Africa,53.744,876.032569
Ghana,1987,14168101,Africa,55.729,847.0061135
Greece,1982,9786480,Europe,75.24,15268.42089
Greece,1987,9974490,Europe,76.67,16120.52839
Guatemala,1982,6395630,Americas,58.137,4820.49479
Guatemala,1987,7326406,Americas,60.782,4246.485974
Guinea,1982,4710497,Africa,42.891,857.2503577
Guinea,1987,5650262,Africa,45.552,805.5724718
Guinea-Bissau,1982,825987,Africa,39.327,838.1239671
Guinea-Bissau,1987,927524,Africa,41.245,736.4153921
Haiti,1982,5198399,Americas,51.461,2011.159549
Haiti,1987,5756203,Americas,53.636,1823.015995
Honduras,1982,3669448,Americas,60.909,3121.760794
Honduras,1987,4372203,Americas,64.492,3023.096699
Hong Kong China,1982,5264500,Asia,75.45,14560.53051
Hong Kong China,1987,5584510,Asia,76.2,20038.47269
Hungary,1982,10705535,Europe,69.39,12545.99066
Hungary,1987,10612740,Europe,69.58,12986.47998
Iceland,1982,233997,Europe,76.99,23269.6075
Iceland,1987,244676,Europe,77.23,26923.20628
India,1982,708000000,Asia,56.596,855.7235377
India,1987,788000000,Asia,58.553,976.5126756
Indonesia,1982,153343000,Asia,56.159,1516.872988
Indonesia,1987,169276000,Asia,60.137,1748.356961
Iran,1982,43072751,Asia,59.62,7608.334602
Iran,1987,51889696,Asia,63.04,6642.881371
Iraq,1982,14173318,Asia,62.038,14517.90711
Iraq,1987,16543189,Asia,65.044,11643.57268
Ireland,1982,3480000,Europe,73.1,12618.32141
Ireland,1987,3539900,Europe,74.36,13872.86652
Israel,1982,3858421,Asia,74.45,15367.0292
Israel,1987,4203148,Asia,75.6,17122.47986
Italy,1982,56535636,Europe,74.98,16537.4835
Italy,1987,56729703,Europe,76.42,19207.23482
Jamaica,1982,2298309,Americas,71.21,6068.05135
Jamaica,1987,2326606,Americas,71.77,6351.237495
Japan,1982,118454974,Asia,77.11,19384.10571
Japan,1987,122091325,Asia,78.67,22375.94189
Jordan,1982,2347031,Asia,63.739,4161.415959
Jordan,1987,2820042,Asia,65.869,4448.679912
Kenya,1982,17661452,Africa,58.766,1348.225791
Kenya,1987,21198082,Africa,59.339,1361.936856
Korea Dem. Rep.,1982,17647518,Asia,69.1,4106.525293
Korea Dem. Rep.,1987,19067554,Asia,70.647,4106.492315
Korea Rep.,1982,39326000,Asia,67.123,5622.942464
Korea Rep.,1987,41622000,Asia,69.81,8533.088805
Kuwait,1982,1497494,Asia,71.309,31354.03573
Kuwait,1987,1891487,Asia,74.174,28118.42998
Lebanon,1982,3086876,Asia,66.983,7640.519521
Lebanon,1987,3089353,Asia,67.926,5377.091329
Lesotho,1982,1411807,Africa,55.078,797.2631074
Lesotho,1987,1599200,Africa,57.18,773.9932141
Liberia,1982,1956875,Africa,44.852,572.1995694
Liberia,1987,2269414,Africa,46.027,506.1138573
Libya,1982,3344074,Africa,62.155,17364.27538
Libya,1987,3799845,Africa,66.234,11770.5898
Madagascar,1982,9171477,Africa,48.969,1302.878658
Madagascar,1987,10568642,Africa,49.35,1155.441948
Malawi,1982,6502825,Africa,45.642,632.8039209
Malawi,1987,7824747,Africa,47.457,635.5173634
Malaysia,1982,14441916,Asia,68,4920.355951
Malaysia,1987,16331785,Asia,69.5,5249.802653
Mali,1982,6998256,Africa,43.916,618.0140641
Mali,1987,7634008,Africa,46.364,684.1715576
Mauritania,1982,1622136,Africa,53.599,1481.150189
Mauritania,1987,1841240,Africa,56.145,1421.603576
Mauritius,1982,992040,Africa,66.711,3688.037739
Mauritius,1987,1042663,Africa,68.74,4783.586903
Mexico,1982,71640904,Americas,67.405,9611.147541
Mexico,1987,80122492,Americas,69.498,8688.156003
Mongolia,1982,1756032,Asia,57.489,2000.603139
Mongolia,1987,2015133,Asia,60.222,2338.008304
Montenegro,1982,562548,Europe,74.101,11222.58762
Montenegro,1987,569473,Europe,74.865,11732.51017
Morocco,1982,20198730,Africa,59.65,2702.620356
Morocco,1987,22987397,Africa,62.677,2755.046991
Mozambique,1982,12587223,Africa,42.795,462.2114149
Mozambique,1987,12891952,Africa,42.861,389.8761846
Myanmar,1982,34680442,Asia,58.056,424
Myanmar,1987,38028578,Asia,58.339,385
Namibia,1982,1099010,Africa,58.968,4191.100511
Namibia,1987,1278184,Africa,60.835,3693.731337
Nepal,1982,15796314,Asia,49.594,718.3730947
Nepal,1987,17917180,Asia,52.537,775.6324501
Netherlands,1982,14310401,Europe,76.05,21399.46046
Netherlands,1987,14665278,Europe,76.83,23651.32361
New Zealand,1982,3210650,Oceania,73.84,17632.4104
New Zealand,1987,3317166,Oceania,74.32,19007.19129
Nicaragua,1982,2979423,Americas,59.298,3470.338156
Nicaragua,1987,3344353,Americas,62.008,2955.984375
Niger,1982,6437188,Africa,42.598,909.7221354
Niger,1987,7332638,Africa,44.555,668.3000228
Nigeria,1982,73039376,Africa,45.826,1576.97375
Nigeria,1987,81551520,Africa,46.886,1385.029563
Norway,1982,4114787,Europe,75.97,26298.63531
Norway,1987,4186147,Europe,75.89,31540.9748
Oman,1982,1301048,Asia,62.728,12954.79101
Oman,1987,1593882,Asia,67.734,18115.22313
Pakistan,1982,91462088,Asia,56.158,1443.429832
Pakistan,1987,105186881,Asia,58.245,1704.686583
Panama,1982,2036305,Americas,70.472,7009.601598
Panama,1987,2253639,Americas,71.523,7034.779161
Paraguay,1982,3366439,Americas,66.874,4258.503604
Paraguay,1987,3886512,Americas,67.378,3998.875695
Peru,1982,18125129,Americas,61.406,6434.501797
Peru,1987,20195924,Americas,64.134,6360.9434440000005
Philippines,1982,53456774,Asia,62.082,2603.273765
Philippines,1987,60017788,Asia,64.151,2189.634995
Poland,1982,36227381,Europe,71.32,8451.531004
Poland,1987,37740710,Europe,70.98,9082.351172
Portugal,1982,9859650,Europe,72.77,11753.84291
Portugal,1987,9915289,Europe,74.06,13039.30876
Puerto Rico,1982,3279001,Americas,73.75,10330.98915
Puerto Rico,1987,3444468,Americas,74.63,12281.34191
Reunion,1982,517810,Africa,69.885,5267.219353
Reunion,1987,562035,Africa,71.913,5303.377488
Romania,1982,22356726,Europe,69.66,9605.314053
Romania,1987,22686371,Europe,69.53,9696.273295
Rwanda,1982,5507565,Africa,46.218,881.5706467
Rwanda,1987,6349365,Africa,44.02,847.991217
Sao Tome and Principe,1982,98593,Africa,60.351,1890.218117
Sao Tome and Principe,1987,110812,Africa,61.728,1516.525457
Saudi Arabia,1982,11254672,Asia,63.012,33693.17525
Saudi Arabia,1987,14619745,Asia,66.295,21198.26136
Senegal,1982,6147783,Africa,52.379,1518.479984
Senegal,1987,7171347,Africa,55.769,1441.72072
Serbia,1982,9032824,Europe,70.162,15181.0927
Serbia,1987,9230783,Europe,71.218,15870.87851
Sierra Leone,1982,3464522,Africa,38.445,1465.010784
Sierra Leone,1987,3868905,Africa,40.006,1294.447788
Singapore,1982,2651869,Asia,71.76,15169.16112
Singapore,1987,2794552,Asia,73.56,18861.53081
Slovak Republic,1982,5048043,Europe,70.8,11348.54585
Slovak Republic,1987,5199318,Europe,71.08,12037.26758
Slovenia,1982,1861252,Europe,71.063,17866.72175
Slovenia,1987,1945870,Europe,72.25,18678.53492
Somalia,1982,5828892,Africa,42.955,1176.807031
Somalia,1987,6921858,Africa,44.501,1093.244963
South Africa,1982,31140029,Africa,58.161,8568.266228
South Africa,1987,35933379,Africa,60.834,7825.823398
Spain,1982,37983310,Europe,76.3,13926.16997
Spain,1987,38880702,Europe,76.9,15764.98313
Sri Lanka,1982,15410151,Asia,68.757,1648.079789
Sri Lanka,1987,16495304,Asia,69.011,1876.766827
Sudan,1982,20367053,Africa,50.338,1895.544073
Sudan,1987,24725960,Africa,51.744,1507.819159
Swaziland,1982,649901,Africa,55.561,3895.384018
Swaziland,1987,779348,Africa,57.678,3984.839812
Sweden,1982,8325260,Europe,76.42,20667.38125
Sweden,1987,8421403,Europe,77.19,23586.92927
Switzerland,1982,6468126,Europe,76.21,28397.71512
Switzerland,1987,6649942,Europe,77.41,30281.70459
Syria,1982,9410494,Asia,64.59,3761.837715
Syria,1987,11242847,Asia,66.974,3116.774285
Taiwan,1982,18501390,Asia,72.16,7426.354774
Taiwan,1987,19757799,Asia,73.4,11054.56175
Tanzania,1982,19844382,Africa,50.608,874.2426069
Tanzania,1987,23040630,Africa,51.535,831.8220794
Thailand,1982,48827160,Asia,64.597,2393.219781
Thailand,1987,52910342,Asia,66.084,2982.653773
Togo,1982,2644765,Africa,55.471,1344.577953
Togo,1987,3154264,Africa,56.941,1202.201361
Trinidad and Tobago,1982,1116479,Americas,68.832,9119.528607
Trinidad and Tobago,1987,1191336,Americas,69.582,7388.597823
Tunisia,1982,6734098,Africa,64.048,3560.233174
Tunisia,1987,7724976,Africa,66.894,3810.419296
Turkey,1982,47328791,Europe,61.036,4241.356344
Turkey,1987,52881328,Europe,63.108,5089.043686
Uganda,1982,12939400,Africa,49.849,682.2662268
Uganda,1987,15283050,Africa,51.509,617.7244065
United Kingdom,1982,56339704,Europe,74.04,18232.42452
United Kingdom,1987,56981620,Europe,75.007,21664.78767
United States,1982,232187835,Americas,74.65,25009.55914
United States,1987,242803533,Americas,75.02,29884.35041
Uruguay,1982,2953997,Americas,70.805,6920.223051
Uruguay,1987,3045153,Americas,71.918,7452.398969
Venezuela,1982,15620766,Americas,68.557,11152.41011
Venezuela,1987,17910182,Americas,70.19,9883.584648
Vietnam,1982,56142181,Asia,58.816,707.2357863
Vietnam,1987,62826491,Asia,62.82,820.7994449
West Bank and Gaza,1982,1425876,Asia,64.406,4336.032082
West Bank and Gaza,1987,1691210,Asia,67.046,5107.197384
Yemen Rep.,1982,9657618,Asia,49.113,1977.55701
Yemen Rep.,1987,11219340,Asia,52.922,1971.741538
Zambia,1982,6100407,Africa,51.821,1408.678565
Zambia,1987,7272406,Africa,50.821,1213.315116
Zimbabwe,1982,7636524,Africa,60.363,788.8550411
Zimbabwe,1987,9216418,Africa,62.351,706.1573059
